OC1;MAGIA Crema Colorante Capilar con Aceite de Argán | Sobre x50g | Caja x6u. ;477,47;644,58;
OC6;Kit Color - Coloración + Oxidante V.20 + Puntitas Fashion + Tutti Cana + Guantes ;759,86;1025,81;
OC3;Crema Colorante - Línea Cielo Color | Sobre x 50 grs.;491,06;662,93;
OC9;Crema Oxidante Hierbas - 20Vol | Sobre x 50 grs. ;84,83;114,52;7798008960022
OC148;Crema Oxidante Hierbas - 30Vol | Sobre x 50 grs. ;84,83;114,52;7798008960091
OC164;Crema Oxidante Hierbas - 40Vol | Sobre x 50 grs. ;84,83;114,52;7798008969896
OC10;Tutti Cana - Ablandador de Canas | Sobre x10cm³ | Caja x 48u.;127,45;172,06;7798008961944
OC12;Polvo decolorante | Sobre x15g | Caja x12u.;165,96;224,05;7798008960664
OC13;Polvo decolorante | Sobre x30g | Caja x10u.;263,77;356,09;7798008960039
OC165;Polvo decolorante CIELO COLOR | Sobre x 30 grs. ;263,77;356,09;7798008969902
OC14;Polvo decolorante | Sobre x70g | Caja x12u.;497,91;672,18;7798008967991
OC166;Polvo decolorante CIELO COLOR | Sobre x 70 grs. ;497,91;672,18;7798008969919
OC15;Polvo decolorante | Pote x700g;2616,99;3532,94;7798008962316
OC147;Powerizer - Linea Cielo Color | Sobre x 10 grs - caja x 18 unid;96,18;129,84;7798008969834
OC149;Pastel Effect - Linea Cielo Color | Sobre x 10 grs - caja x18 unid;96,18;129,84;7798008969858
OC146;Acid Cream - Linea Cielo Color | Sobre x 25 grs - caja x 12 unid;123,11;166,20;7798008969872
OC17;Aceite de Argan | Sobre x10cm³ | Caja x48u.;254,48;343,55;7798008963122
OC182;Aceite de Argan | Frasco x 60 grs.  ;1060,17;1431,23;7798382382052
OC18;Aceite de Almendras | Sobre x10cm³ | Caja x48u.;125,22;169,05;7798008961937
OC19;Aceite de Almendras | Frasco x60cm³ | Caja x6u.;622,06;839,78;7798008960848
OC20;Aceite de Coco con Quinoa | Sobre x10cm³ | Caja x48u. ;141,38;190,86;7798008968004
OC183;Aceite de Coco con Quinoa | Frasco x 60 grs.  ;757,27;1022,31;7798382382083
OC22;Shampoo Neutro - Pre tratamiento | Sobre x10g | Caja x48u. ;80,79;109,07;7798008964181
OC23;Alisado Express - Shampoo Alisante | Sobre x50g | Caja x10u. ;646,28;872,48;7798008968349
OC24;Alisado Express - Crema Mantenimiento | Sobre x50g | Caja x10u.;511,64;690,71;7798008968363
OC25;Shampoo Blonde | Sobre x10g | Caja x48u. ;107,72;145,42;7798008968325
OC197;Blonde Power Shampoo | Frasco x 250ml ;1211,26;1635,20;7798382382281
OC178;Blonde Power Shampoo | Doypack x 250 grs  ;1212,44;1636,79;7798008964662
OC26;Puntitas Fashion - Crema Ácida | Sobre x20g | Caja x 48u. ;128,30;173,21;7798008961920
OC27;Puntitas Fashion - Crema Ácida | Pote x250g ;1282,96;1732,00;7798008964075
OC174;Puntitas Fashion - Crema Ácida | Doypack x 250 grs. ;1023,74;1382,05;7798008964655
OC198;Puntitas Restaurador | Pomo x 15ml ;406,62;548,94;7798382381871
OC29;Socorro Capilar - Tratamiento Múltiple Acción | Frasco x60cm³ | Caja x6u. ;761,69;1028,28;7798008967731
OC30;Socorro Capilar - Tratamiento Múltiple Acción | Sobre x10cm³ | Caja x48u. ;142,34;192,16;7798008967762
OC199;Socorro Capilar - Tratamiento Sin Enjuague | Pomo x 120 grs ;1341,84;1811,48;7798382382205
OC248;Socorro Capilar 2 - Con enjuague | Pote x 250 grs. HASTA AGOTAR STOCK;1060,73;1431,99;
OC200;Spray Bifásico 12 en 1 - Tratamiento Multinutritivo | Frasco x 200ml ;2243,89;3029,25;7798382383219
OC207;Óleo Capilar 12 en 1 - Frasco x 30ml ;1652,99;2231,54;7798382383271
OC36;Cicatrihair -  Keratina y Argan | Sobre x25g | Caja x24u.;154,85;209,05;7798008968592
OC179;Cicatrihair - Keratina y Argan | Pote x 250 grs. ;1396,65;1885,48;7798382380591
OC184;Cicatrihair - Keratina y Argan | DoyPack x 250 grs ;1256,39;1696,13;7798382380621
OC37;Cicatrihair -  Keratina y Ácido Hialuronico | Sobre x25g | Caja x24u.;154,85;209,05;7798008968608
OC180;Cicatrihair - Keratina y Ácido Hialuronico | Pote x 250 grs.;1396,65;1885,48;7798382380607
OC185;Cicatrihair - Keratina y Ácido Hialuronico | DoyPack x 250 grs ;1256,39;1696,13;7798382380638
OC38;Cicatrihair -  Keratina y Macadamia | Sobre x25g | Caja x24u.;154,85;209,05;7798008968585
OC181;Cicatrihair - Keratina y Macadamia | Pote x 250 grs.;1396,65;1885,48;7798382380614
OC186;Cicatrihair - Keratina y Macadamia | DoyPack x 250 grs ;1256,39;1696,13;7798382380645
OC144;EFECTO EXTENSIONES. SOBRE X 10grs. SIN ENJUAGUE - CAJA X48;142,34;192,16;7798008969421
OC143;EFECTO EXTENSIONES. SOBRE X 25grs. CON ENJUAGUE - CAJA X 24;173,12;233,71;7798008969308
OC154;Efecto Extensiones - Shampoo - Frasco 250 grs.;696,29;939,99;7798008969322
OC155;Efecto Extensiones - Acondicionador - Frasco 250 grs.;757,85;1023,10;7798008969339
OC156;Efecto Extensiones - Tratamiento I Pote x 250 grs.;1231,03;1661,89;7798008969346
OC158;Efecto Extensiones - Sin Enjuague - Pomo x 150 grs;765,55;1033,49;7798008969445
OC57;Keratina en Crema - Tratamiento Reparador | Sobre x25g | Caja x24u.;150,42;203,07;7798008963955
OC58;Keratina en Crema - Tratamiento Reparador | Pote x250g;1251,99;1690,19;7798008963948
OC175;Keratina en Crema - Tratamiento Reparador | Doypack x 250 grs. ;954,33;1288,35;7798008964624
OC59;Keratina en Crema - Shampoo Tratamiento Reparador | Frasco x250g;800,74;1081,00;7798008963979
OC177;Keratina en Crema - Shampoo Tratamiento Reparador | Doypack x 250 grs. ;579,42;782,22;7798008964631
OC60;Keratina en Crema - Acondicionador Tratamiento Reparador | Frasco x250g;871,52;1176,55;7798008963986
OC176;Keratina en Crema - Acondicionador Tratamiento Reparador | Doypack x 250 grs. ;625,90;844,97;7798008964648
OC167;Keratina Extra Acida sin enjuague | Sobre x 10 grs.;142,34;192,16;7798008964594
OC62;Minuto Cero - Reparación capilar de uso diario | Sobre x25g | Caja x24u.;154,85;209,05;7798008964037
OC63;Minuto Cero - Reparación capilar de uso diario | Pote x 250g ;1269,69;1714,08;7798008964020
OC173;Minuto Cero - Reparación capilar de uso diario | Doypack x 250 grs. ;960,52;1296,70;7798008964617
OC64;Minuto Cero - Shampoo reparación capilar de uso diario | Frasco x 250g;800,74;1081,00;7798008964051
OC65;Minuto Cero - Acondicionador reparación capilar de uso diario | Frasco x 250g;871,52;1176,55;7798008964068
OC187;Crema Capilar de Argán & Keratina | Sobre x 25grs.   ;154,85;209,05;7798382381741
OC188;Crema Capilar de Argán & Keratina | Doypack x 250grs.  ;960,52;1296,70;7798382381765
OC189;Crema Capilar de Argán & Keratina | Pote x 250grs. ;1269,69;1714,08;7798382381772
OC190;Crema Capilar de Argán & Keratina | Shampoo x 410ml. ;1192,74;1610,20;7798382381789
OC191;Crema Capilar de Argán & Keratina | Acondicionador x 410ml.  ;1192,74;1610,20;7798382381796
OC192;Oleo en Crema Aceite de Coco y Almendras | Sobre x 25grs.  ;154,85;209,05;7798382381840
OC193;Oleo en Crema Aceite de Coco y Almendras | Doypack x 250grs.  ;960,52;1296,70;7798382381833
OC194;Oleo en Crema Aceite de Coco y Almendras | Pote x 250grs.  ;1269,69;1714,08;7798382381826
OC195;Oleo en Crema Aceite de Coco y Almendras | Shampoo x 410ml.  ;1192,74;1610,20;7798382381819
OC196;Oleo en Crema Aceite de Coco y Almendras | Acondicionador x 410ml.  ;1192,74;1610,20;7798382381802
