"IDComprobante","Pago","Concepto","IDTarjeta","Importe","AlicuotaPercepMun","IdComprobanteVale","IdMedioDePago","TarjCupon","TarjNumero","TarjEstado","IDCheque","idTransferencia"
4,1,"CONTADO",,200,0,,1,"","","",,
6,1,"CONTADO",,235.18,0,,1,"","","",,
10,1,"CONTADO",,42.15,0,,1,"","","",,
12,1,"CONTADO",,78.14,0,,1,"","","",,
13,1,"CONTADO",,42.47,0,,1,"","","",,
14,1,"CONTADO",,77.37,0,,1,"","","",,
15,1,"CONTADO",,189.41,0,,1,"","","",,
16,1,"CONTADO",,20,0,,1,"","","",,
18,1,"CONTADO",,114.14,0,,1,"","","",,
19,1,"CONTADO",,0,0,,1,"","","",,
20,1,"CONTADO",,0,0,,1,"","","",,
21,1,"CONTADO",,53.21,0,,1,"","","",,
23,1,"CONTADO",,141.83,0,,1,"","","",,
24,1,"CONTADO",,230.4,0,,1,"","","",,
27,1,"CONTADO",,350.75,0,,1,"","","",,
30,1,"CONTADO",,103.44,0,,1,"","","",,
32,1,"CONTADO",,1375.26,0,,1,"","","",,
34,1,"CONTADO",,70.52,0,,1,"","","",,
36,1,"CONTADO",,13.92,0,,1,"","","",,
37,1,"CONTADO",,1064.62,0,,1,"","","",,
38,1,"CONTADO",,141.91,0,,1,"","","",,
40,1,"CONTADO",,400,0,,1,"","","",,
43,1,"CONTADO",,74.49,0,,1,"","","",,
45,1,"CONTADO",,18.05,0,,1,"","","",,
47,1,"CONTADO",,96.28,0,,1,"","","",,
48,1,"CONTADO",,41,0,,1,"","","",,
49,1,"CONTADO",,28.6,0,,1,"","","",,
50,1,"CONTADO",,53.56,0,,1,"","","",,
51,1,"CONTADO",,20,0,,1,"","","",,
52,1,"CONTADO",,133.38,0,,1,"","","",,
53,1,"CONTADO",,57.15,0,,1,"","","",,
54,1,"CONTADO",,97.64,0,,1,"","","",,
55,1,"CONTADO",,64.95,0,,1,"","","",,
56,1,"CONTADO",,208.36,0,,1,"","","",,
57,1,"CONTADO",,33.57,0,,1,"","","",,
59,1,"CONTADO",,30.17,0,,1,"","","",,
60,1,"CONTADO",,33,0,,1,"","","",,
62,1,"CONTADO",,71.35,0,,1,"","","",,
63,1,"CONTADO",,84.29,0,,1,"","","",,
64,1,"CONTADO",,28.07,0,,1,"","","",,
66,1,"CONTADO",,65.68,0,,1,"","","",,
70,1,"CONTADO",,198.52,0,,1,"","","",,
71,1,"CONTADO",,128.5,0,,1,"","","",,
74,1,"CONTADO",,23.77,0,,1,"","","",,
76,1,"CONTADO",,0,0,,1,"","","",,
77,1,"CONTADO",,0,0,,1,"","","",,
78,1,"CONTADO",,0,0,,1,"","","",,
80,1,"CONTADO",,108.52,0,,1,"","","",,
81,1,"CONTADO",,30.47,0,,1,"","","",,
85,1,"CONTADO",,235.83,0,,1,"","","",,
86,1,"CONTADO",,0,0,,1,"","","",,
87,1,"CONTADO",,0,0,,1,"","","",,
88,1,"CONTADO",,0,0,,1,"","","",,
89,1,"CONTADO",,106.22,0,,1,"","","",,
90,1,"CONTADO",,76.2,0,,1,"","","",,
92,2,"TARJETA",,45.8,0,,5,"0","4508320007952741","",,
95,1,"CONTADO",,1319.63,0,,1,"","","",,
96,1,"CONTADO",,38.9,0,,1,"","","",,
97,1,"CONTADO",,38.6,0,,1,"","","",,
98,1,"CONTADO",,54.72,0,,1,"","","",,
101,1,"CONTADO",,37.76,0,,1,"","","",,
104,1,"CONTADO",,481.49,0,,1,"","","",,
105,1,"CONTADO",,143.82,0,,1,"","","",,
106,1,"CONTADO",,87.75,0,,1,"","","",,
107,1,"CONTADO",,314.35,0,,1,"","","",,
111,1,"CONTADO",,408.65,0,,1,"","","",,
114,1,"CONTADO",,628.93,0,,1,"","","",,
116,1,"CONTADO",,77.21,0,,1,"","","",,
117,1,"CONTADO",,136.94,0,,1,"","","",,
119,1,"CONTADO",,56.91,0,,1,"","","",,
123,1,"CONTADO",,218.41,0,,1,"","","",,
124,1,"CONTADO",,0,0,,1,"","","",,
125,1,"CONTADO",,0,0,,1,"","","",,
126,1,"CONTADO",,0,0,,1,"","","",,
127,1,"CONTADO",,80.84,0,,1,"","","",,
129,1,"CONTADO",,152.9,0,,1,"","","",,
130,1,"CONTADO",,133.12,0,,1,"","","",,
131,1,"CONTADO",,30.52,0,,1,"","","",,
132,1,"CONTADO",,121.94,0,,1,"","","",,
135,1,"CONTADO",,43.92,0,,1,"","","",,
136,1,"CONTADO",,215.32,0,,1,"","","",,
137,1,"CONTADO",,111.02,0,,1,"","","",,
140,1,"CONTADO",,35.07,0,,1,"","","",,
141,1,"CONTADO",,24.65,0,,1,"","","",,
142,1,"CONTADO",,77.92,0,,1,"","","",,
143,1,"CONTADO",,42.31,0,,1,"","","",,
144,1,"CONTADO",,67.9,0,,1,"","","",,
147,1,"CONTADO",,21,0,,1,"","","",,
149,1,"CONTADO",,137.38,0,,1,"","","",,
150,1,"CONTADO",,128.63,0,,1,"","","",,
151,1,"CONTADO",,56.29,0,,1,"","","",,
154,1,"CONTADO",,81.41,0,,1,"","","",,
155,1,"CONTADO",,75.49,0,,1,"","","",,
156,1,"CONTADO",,31.8,0,,1,"","","",,
157,1,"CONTADO",,163.92,0,,1,"","","",,
159,1,"CONTADO",,110.42,0,,1,"","","",,
164,1,"CONTADO",,0,0,,1,"","","",,
165,1,"CONTADO",,990.06,0,,1,"","","",,
166,1,"CONTADO",,24.8,0,,1,"","","",,
167,1,"CONTADO",,475.13,0,,1,"","","",,
169,1,"CONTADO",,159.6,0,,1,"","","",,
170,1,"CONTADO",,135.78,0,,1,"","","",,
172,1,"CONTADO",,55.23,0,,1,"","","",,
175,1,"CONTADO",,57.54,0,,1,"","","",,
178,1,"CONTADO",,800,0,,1,"","","",,
181,1,"CONTADO",,55.68,0,,1,"","","",,
182,1,"CONTADO",,235.07,0,,1,"","","",,
183,1,"CONTADO",,18.5,0,,1,"","","",,
185,1,"CONTADO",,3.3,0,,1,"","","",,
186,1,"CONTADO",,20,0,,1,"","","",,
187,1,"CONTADO",,250.25,0,,1,"","","",,
188,1,"CONTADO",,45.9,0,,1,"","","",,
190,1,"CONTADO",,114.69,0,,1,"","","",,
191,1,"CONTADO",,12.84,0,,1,"","","",,
192,1,"CONTADO",,138.1,0,,1,"","","",,
193,1,"CONTADO",,27.5,0,,1,"","","",,
194,1,"CONTADO",,19,0,,1,"","","",,
195,1,"CONTADO",,22.49,0,,1,"","","",,
196,1,"CONTADO",,0,0,,1,"","","",,
197,1,"CONTADO",,466.37,0,,1,"","","",,
200,1,"CONTADO",,61.4,0,,1,"","","",,
201,1,"CONTADO",,0,0,,1,"","","",,
202,1,"CONTADO",,144.67,0,,1,"","","",,
204,1,"CONTADO",,191.96,0,,1,"","","",,
205,1,"CONTADO",,123.21,0,,1,"","","",,
206,1,"CONTADO",,155.45,0,,1,"","","",,
207,1,"CONTADO",,56.69,0,,1,"","","",,
209,1,"CONTADO",,28.14,0,,1,"","","",,
210,1,"CONTADO",,85.15,0,,1,"","","",,
212,1,"CONTADO",,121.17,0,,1,"","","",,
215,1,"CONTADO",,57.5,0,,1,"","","",,
217,1,"CONTADO",,97.27,0,,1,"","","",,
218,1,"CONTADO",,51.93,0,,1,"","","",,
219,1,"CONTADO",,9,0,,1,"","","",,
220,1,"CONTADO",,78.04,0,,1,"","","",,
222,1,"CONTADO",,48.77,0,,1,"","","",,
223,1,"CONTADO",,200,0,,1,"","","",,
225,1,"CONTADO",,64.28,0,,1,"","","",,
226,1,"CONTADO",,90,0,,1,"","","",,
232,1,"CONTADO",,138.38,0,,1,"","","",,
233,1,"CONTADO",,57.7,0,,1,"","","",,
235,1,"CONTADO",,82.73,0,,1,"","","",,
236,1,"CONTADO",,63.24,0,,1,"","","",,
238,1,"CONTADO",,51.84,0,,1,"","","",,
239,1,"CONTADO",,105.49,0,,1,"","","",,
240,1,"CONTADO",,54.13,0,,1,"","","",,
241,1,"CONTADO",,249.16,0,,1,"","","",,
242,1,"CONTADO",,115.74,0,,1,"","","",,
243,1,"CONTADO",,53.81,0,,1,"","","",,
244,1,"CONTADO",,66.61,0,,1,"","","",,
245,1,"CONTADO",,183.82,0,,1,"","","",,
246,1,"CONTADO",,177.78,0,,1,"","","",,
248,1,"CONTADO",,214.67,0,,1,"","","",,
250,1,"CONTADO",,37.87,0,,1,"","","",,
253,1,"CONTADO",,169.16,0,,1,"","","",,
254,1,"CONTADO",,0,0,,1,"","","",,
255,1,"CONTADO",,600,0,,1,"","","",,
256,1,"CONTADO",,0,0,,1,"","","",,
257,1,"CONTADO",,300,0,,1,"","","",,
258,1,"CONTADO",,68.42,0,,1,"","","",,
260,1,"CONTADO",,542.32,0,,1,"","","",,
261,1,"CONTADO",,65.91,0,,1,"","","",,
262,1,"CONTADO",,81,0,,1,"","","",,
263,1,"CONTADO",,28.8,0,,1,"","","",,
268,2,"TARJETA",,45.55,0,,5,"0","0","",,
269,1,"CONTADO",,56.79,0,,1,"","","",,
277,1,"CONTADO",,12,0,,1,"","","",,
278,1,"CONTADO",,177.12,0,,1,"","","",,
279,1,"CONTADO",,62.16,0,,1,"","","",,
280,1,"CONTADO",,140.66,0,,1,"","","",,
282,1,"CONTADO",,99.15,0,,1,"","","",,
283,1,"CONTADO",,9,0,,1,"","","",,
286,1,"CONTADO",,600,0,,1,"","","",,
287,1,"CONTADO",,34.38,0,,1,"","","",,
289,1,"CONTADO",,71.99,0,,1,"","","",,
290,1,"CONTADO",,129.88,0,,1,"","","",,
291,1,"CONTADO",,348.29,0,,1,"","","",,
292,1,"CONTADO",,34.17,0,,1,"","","",,
293,1,"CONTADO",,0,0,,1,"","","",,
294,1,"CONTADO",,0,0,,1,"","","",,
298,1,"CONTADO",,260.47,0,,1,"","","",,
300,1,"CONTADO",,62.8,0,,1,"","","",,
302,1,"CONTADO",,83.2,0,,1,"","","",,
305,1,"CONTADO",,28.6,0,,1,"","","",,
306,1,"CONTADO",,235.91,0,,1,"","","",,
307,1,"CONTADO",,48.2,0,,1,"","","",,
308,1,"CONTADO",,21.69,0,,1,"","","",,
309,1,"CONTADO",,0,0,,1,"","","",,
310,1,"CONTADO",,38.28,0,,1,"","","",,
311,1,"CONTADO",,51,0,,1,"","","",,
312,1,"CONTADO",,85.13,0,,1,"","","",,
313,1,"CONTADO",,50.02,0,,1,"","","",,
314,1,"CONTADO",,65.17,0,,1,"","","",,
315,1,"CONTADO",,214.67,0,,1,"","","",,
316,1,"CONTADO",,126.9,0,,1,"","","",,
318,1,"CONTADO",,0,0,,1,"","","",,
320,1,"CONTADO",,17.18,0,,1,"","","",,
321,1,"CONTADO",,63.15,0,,1,"","","",,
322,1,"CONTADO",,0,0,,1,"","","",,
325,1,"CONTADO",,23.3,0,,1,"","","",,
326,1,"CONTADO",,37.5,0,,1,"","","",,
327,1,"CONTADO",,163.61,0,,1,"","","",,
328,1,"CONTADO",,84.99,0,,1,"","","",,
332,1,"CONTADO",,268.23,0,,1,"","","",,
333,1,"CONTADO",,47.35,0,,1,"","","",,
334,1,"CONTADO",,156.35,0,,1,"","","",,
335,1,"CONTADO",,318.76,0,,1,"","","",,
336,1,"CONTADO",,11,0,,1,"","","",,
337,1,"CONTADO",,55,0,,1,"","","",,
338,1,"CONTADO",,16.9,0,,1,"","","",,
341,1,"CONTADO",,45.22,0,,1,"","","",,
343,1,"CONTADO",,0,0,,1,"","","",,
345,1,"CONTADO",,0,0,,1,"","","",,
347,1,"CONTADO",,247.41,0,,1,"","","",,
349,1,"CONTADO",,90.65,0,,1,"","","",,
352,1,"CONTADO",,25.07,0,,1,"","","",,
353,1,"CONTADO",,101.72,0,,1,"","","",,
354,1,"CONTADO",,216.54,0,,1,"","","",,
355,1,"CONTADO",,44.89,0,,1,"","","",,
361,1,"CONTADO",,116.3,0,,1,"","","",,
362,1,"CONTADO",,0,0,,1,"","","",,
363,1,"CONTADO",,30.15,0,,1,"","","",,
364,1,"CONTADO",,62.98,0,,1,"","","",,
365,1,"CONTADO",,76.22,0,,1,"","","",,
368,1,"CONTADO",,8.14,0,,1,"","","",,
369,1,"CONTADO",,297.7,0,,1,"","","",,
370,1,"CONTADO",,69.82,0,,1,"","","",,
371,1,"CONTADO",,49.39,0,,1,"","","",,
375,1,"CONTADO",,92.24,0,,1,"","","",,
376,1,"CONTADO",,83.52,0,,1,"","","",,
377,1,"CONTADO",,262.92,0,,1,"","","",,
378,1,"CONTADO",,35.07,0,,1,"","","",,
382,1,"CONTADO",,25,0,,1,"","","",,
383,1,"CONTADO",,300,0,,1,"","","",,
384,1,"CONTADO",,133.33,0,,1,"","","",,
385,1,"CONTADO",,400,0,,1,"","","",,
386,1,"CONTADO",,200.94,0,,1,"","","",,
389,1,"CONTADO",,85.64,0,,1,"","","",,
390,1,"CONTADO",,28.02,0,,1,"","","",,
391,1,"CONTADO",,0,0,,1,"","","",,
392,1,"CONTADO",,63.71,0,,1,"","","",,
393,1,"CONTADO",,42.9,0,,1,"","","",,
394,1,"CONTADO",,32.75,0,,1,"","","",,
395,1,"CONTADO",,33,0,,1,"","","",,
396,1,"CONTADO",,60.2,0,,1,"","","",,
397,1,"CONTADO",,0,0,,1,"","","",,
398,1,"CONTADO",,0,0,,1,"","","",,
400,1,"CONTADO",,60.63,0,,1,"","","",,
